TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,45,18,27,0.4,2175.0,1940,4190,0.463,617,1707,0.361,907,1118,0.811,582,1428,2010,1156,622.0,354,201,253,853,918,5404,-143.0,8,22,22,22,10,9,2,23,7,5,18,4,5,6,1,21,5,18,19,9,23,24,12,9,6,24
1610612738,Boston Celtics,45,35,10,0.778,2185.0,1943,4059,0.479,733,1922,0.381,817,1016,0.804,487,1646,2133,1161,568.0,291,289,173,779,841,5436,459.0,8,1,1,1,8,8,11,11,1,1,6,13,14,8,13,1,2,17,7,27,2,1,2,22,4,1
1610612751,Brooklyn Nets,44,17,27,0.386,2127.0,1840,4014,0.458,601,1661,0.362,712,938,0.759,539,1467,2006,1156,559.0,292,237,213,834,814,4993,-73.0,23,24,22,24,24,21,14,27,11,10,17,27,27,25,5,14,7,18,3,26,15,8,5,29,24,20
1610612766,Charlotte Hornets,43,10,33,0.233,2074.0,1753,3829,0.458,508,1415,0.359,657,829,0.793,457,1316,1773,1066,600.0,282,212,227,839,773,4671,-497.0,25,27,27,27,26,30,26,28,27,26,21,30,30,9,19,30,30,29,15,28,21,16,7,30,30,30
1610612741,Chicago Bulls,46,21,25,0.457,2238.0,1905,4115,0.463,544,1515,0.359,756,958,0.789,518,1484,2002,1123,571.0,357,228,226,888,855,5110,-74.0,1,19,21,20,1,14,4,24,20,17,19,21,23,11,7,12,8,23,8,7,18,15,20,18,16,21
1610612739,Cleveland Cavaliers,43,27,16,0.628,2074.0,1822,3817,0.477,568,1582,0.359,690,900,0.767,474,1467,1941,1147,596.0,334,195,220,819,832,4902,179.0,25,9,8,9,26,24,27,13,15,13,20,29,29,23,14,14,18,20,13,16,26,12,3,26,27,9
1610612742,Dallas Mavericks,45,25,20,0.556,2160.0,1929,4074,0.473,686,1844,0.372,799,1054,0.758,460,1418,1878,1137,549.0,296,200,175,854,961,5343,19.0,8,13,13,14,21,11,9,16,2,2,13,15,12,26,18,22,23,21,2,24,25,2,13,2,7,15
1610612743,Denver Nuggets,46,31,15,0.674,2208.0,2026,4078,0.497,531,1430,0.371,715,949,0.753,499,1520,2019,1330,587.0,315,246,223,862,861,5298,186.0,1,4,7,7,5,2,8,4,23,23,14,26,25,28,10,8,4,2,11,22,12,13,15,17,10,8
1610612765,Detroit Pistons,45,5,40,0.111,2170.0,1888,4005,0.471,491,1396,0.352,785,1013,0.775,496,1454,1950,1185,702.0,266,231,272,1006,849,5052,-462.0,8,30,30,30,14,17,16,17,29,29,26,18,15,19,11,18,14,13,29,30,16,27,29,20,22,29
1610612744,Golden State Warriors,42,19,23,0.452,2031.0,1785,3802,0.469,624,1666,0.375,760,962,0.79,528,1397,1925,1182,606.0,275,158,194,860,815,4954,-19.0,30,21,17,21,30,27,28,18,6,9,11,20,22,10,6,27,19,15,16,29,29,3,14,28,26,17
